City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Igarka,RU,67.4667,86.5833,3.33,99,100,7.83,overcast clouds
1,Mpanda,TZ,-6.3655,31.0409,73.06,49,93,1.74,overcast clouds
2,Dikson,RU,73.5069,80.5464,20.68,91,100,5.77,overcast clouds
3,Albany,US,42.6001,-73.9662,57.58,66,0,3.58,clear sky
4,Atuona,PF,-9.8,-139.0333,77.54,79,19,12.64,few clouds
5,Bagdarin,RU,54.4333,113.6,15.82,63,100,4.61,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,70.07,68,100,15.73,overcast clouds
7,Busselton,AU,-33.65,115.3333,61.41,78,16,11.32,few clouds
8,Payson,US,40.0444,-111.7321,38.59,72,100,1.99,overcast clouds
9,Qaanaaq,GL,77.484,-69.3632,8.15,53,32,9.08,scattered clouds
10,Saldanha,ZA,-33.0117,17.9442,61.29,95,9,6.53,clear sky
11,Alyangula,AU,-13.8483,136.4192,87.31,43,48,16.35,scattered clouds
12,Saskylakh,RU,71.9167,114.0833,13.08,96,100,3.89,light snow
13,Sisimiut,GL,66.9395,-53.6735,24.98,53,100,7.58,overcast clouds
14,Gazli,UZ,40.1333,63.45,53.96,74,3,5.59,clear sky
15,Bathsheba,BB,13.2167,-59.5167,80.1,81,58,13.53,broken clouds
16,Ushuaia,AR,-54.8,-68.3,58.66,58,20,4.61,few clouds
17,Huilong,CN,31.8111,121.655,59.94,59,89,16.08,overcast clouds
18,Olyka,UA,50.7186,25.8125,45.16,80,48,2.59,scattered clouds
19,Mataura,NZ,-46.1927,168.8643,53.96,76,85,11.7,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,65.8,95,100,13.82,overcast clouds
21,Sur,OM,22.5667,59.5289,76.93,48,0,9.91,clear sky
22,Port Elizabeth,ZA,-33.918,25.5701,67.1,90,77,11.48,broken clouds
23,Arrecife,ES,28.963,-13.5477,67.98,83,20,6.91,few clouds
24,Ribeira Grande,PT,38.5167,-28.7,67.77,97,12,10.0,few clouds
25,Lompoc,US,34.6391,-120.4579,62.94,59,27,7.0,scattered clouds
26,Carnarvon,AU,-24.8667,113.6333,71.78,69,0,17.9,clear sky
27,Mangrol,IN,21.1167,70.1167,77.41,56,0,7.38,clear sky
28,Naze,JP,28.3667,129.4833,69.48,69,61,15.08,broken clouds
29,Saint George,US,37.1041,-113.5841,49.95,51,87,8.99,overcast clouds
30,Hualmay,PE,-11.0964,-77.6139,63.72,81,8,7.85,clear sky
31,Tasiilaq,GL,65.6145,-37.6368,32.16,95,100,11.79,overcast clouds
32,Pevek,RU,69.7008,170.3133,-14.76,98,40,4.88,scattered clouds
33,College,US,64.8569,-147.8028,15.08,83,100,10.36,light snow
34,Punta Arenas,CL,-53.15,-70.9167,60.91,63,40,21.85,scattered clouds
35,Tuktoyaktuk,CA,69.4541,-133.0374,4.59,90,100,10.31,overcast clouds
36,Kodiak,US,57.79,-152.4072,35.92,61,1,11.25,clear sky
37,Manokwari,ID,-0.8667,134.0833,83.44,69,98,4.76,overcast clouds
38,Thompson,CA,55.7435,-97.8558,17.76,86,100,12.66,light snow
39,Ancud,CL,-41.8697,-73.8203,52.43,93,14,5.48,few clouds
40,Kysyl-Syr,RU,63.8986,122.7617,-1.91,94,86,7.49,overcast clouds
41,Berlevag,NO,70.8578,29.0864,44.6,81,100,26.46,overcast clouds
42,Canavieiras,BR,-15.675,-38.9472,69.33,88,100,12.57,overcast clouds
43,Souillac,MU,-20.5167,57.5167,71.64,83,45,7.31,scattered clouds
44,Hilo,US,19.7297,-155.09,73.26,94,100,3.44,light rain
45,Khatanga,RU,71.9667,102.5,-2.45,98,99,6.55,overcast clouds
46,Leshukonskoye,RU,64.8989,45.7622,18.18,97,97,1.52,overcast clouds
47,Bethel,US,41.3712,-73.414,56.91,77,0,1.01,clear sky
48,Bredasdorp,ZA,-34.5322,20.0403,63.52,97,100,13.31,light rain
49,Gotsu,JP,35.0,132.2167,60.57,63,52,12.64,broken clouds
50,Hobart,AU,-42.8794,147.3294,62.26,56,20,5.75,few clouds
51,Ambilobe,MG,-13.2,49.05,68.43,89,10,4.61,clear sky
52,Omsukchan,RU,62.5333,155.8,0.23,98,98,1.3,overcast clouds
53,Padang,ID,-0.9492,100.3543,73.45,84,100,3.36,light rain
54,Vaini,TO,-21.2,-175.2,76.55,80,69,17.47,broken clouds
55,Nikolskoye,RU,59.7035,30.7861,33.69,87,86,2.55,overcast clouds
56,Itaituba,BR,-4.2761,-55.9836,81.16,63,100,1.81,overcast clouds
57,Castro,BR,-24.7911,-50.0119,47.8,92,42,5.84,scattered clouds
58,Butaritari,KI,3.0707,172.7902,80.28,71,65,13.38,broken clouds
59,Esperance,AU,-33.8667,121.9,69.93,49,87,21.27,overcast clouds
60,Cherskiy,RU,68.75,161.3,-18.22,92,9,5.37,clear sky
61,Talara,PE,-4.5772,-81.2719,63.37,86,23,15.28,few clouds
62,Plettenberg Bay,ZA,-34.0527,23.3716,62.94,93,90,5.66,overcast clouds
63,Ngerengere,TZ,-6.75,38.1167,67.86,97,16,1.97,few clouds
64,Olafsvik,IS,64.8945,-23.7142,40.44,91,57,14.0,broken clouds
65,Katsuura,JP,35.1333,140.3,70.41,53,100,20.54,overcast clouds
66,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,89,10.33,overcast clouds
67,Kapaa,US,22.0752,-159.319,82.38,76,22,8.01,few clouds
68,Makinsk,KZ,52.6292,70.4169,36.01,88,100,12.91,overcast clouds
69,Honiara,SB,-9.4333,159.95,84.36,73,39,4.0,scattered clouds
70,Matamoros,MX,25.5333,-103.25,78.93,15,0,1.19,clear sky
71,Shaowu,CN,27.3409,117.4831,62.31,95,100,2.15,overcast clouds
72,Fairfield,US,41.2668,-73.3162,58.66,80,0,3.8,clear sky
73,Airai,TL,-8.9266,125.4092,70.38,72,99,1.92,overcast clouds
74,Langfang,CN,39.5097,116.6947,40.8,25,0,4.12,clear sky
75,Victoria,HK,22.2855,114.1577,73.45,92,87,8.01,overcast clouds
76,Zhigansk,RU,66.7697,123.3711,-11.47,98,46,6.31,scattered clouds
77,New Norfolk,AU,-42.7826,147.0587,61.92,41,27,3.09,scattered clouds
78,Aksu,CN,41.1231,80.2644,46.35,39,82,3.06,broken clouds
79,Faya,SA,18.3851,42.4509,59.43,79,27,1.81,scattered clouds
80,Qui Nhon,VN,13.7667,109.2333,73.89,83,92,6.11,overcast clouds
81,Lima,PE,-12.0432,-77.0282,63.97,79,15,6.35,few clouds
82,Kamina,CD,-8.7386,24.9906,62.85,99,66,4.74,broken clouds
83,Kirkwall,GB,58.9848,-2.9587,47.97,81,20,5.75,few clouds
84,Cape Town,ZA,-33.9258,18.4232,66.9,86,19,14.0,few clouds
85,Tahta,EG,26.7693,31.5021,66.16,53,29,6.71,scattered clouds
86,San Vicente,AR,-26.6167,-54.1333,53.64,85,0,3.15,clear sky
87,Vanderhoof,CA,54.0166,-124.0198,31.78,76,100,6.96,overcast clouds
88,La Ronge,CA,55.1001,-105.2842,16.07,95,95,6.13,overcast clouds
89,Guerrero Negro,MX,27.9769,-114.0611,65.97,61,12,24.36,few clouds
90,Nome,US,64.5011,-165.4064,17.78,89,54,8.52,broken clouds
91,Clyde River,CA,70.4692,-68.5914,19.63,93,100,19.57,light snow
92,Avarua,CK,-21.2078,-159.775,77.05,69,75,14.97,broken clouds
93,Lincoln,US,40.8,-96.667,70.56,52,100,8.01,overcast clouds
94,Mahebourg,MU,-20.4081,57.7,74.25,80,52,7.36,broken clouds
95,Izumo,JP,35.3667,132.7667,58.95,82,75,5.75,broken clouds
96,Meadow Lake,US,34.8014,-106.5436,56.12,45,86,22.26,overcast clouds
97,Jaicos,BR,-7.3592,-41.1378,79.36,70,93,4.45,light rain
98,Encheng,CN,22.1839,112.3026,67.23,92,100,4.99,overcast clouds
99,Vorsma,RU,55.9856,43.2717,33.64,95,100,4.68,overcast clouds
100,Tiksi,RU,71.6872,128.8694,-3.57,98,88,6.96,overcast clouds
101,Ballina,AU,-28.8667,153.5667,71.02,62,7,11.65,clear sky
102,Ponta Delgada,PT,37.7333,-25.6667,70.5,94,75,9.22,light intensity shower rain
103,Chuy,UY,-33.6971,-53.4616,54.7,77,0,8.39,clear sky
104,Kamenka,RU,51.3223,42.7678,33.55,87,100,4.36,overcast clouds
105,Areka,ET,7.0667,37.7,61.92,68,87,2.98,overcast clouds
106,Provideniya,RU,64.3833,-173.3,17.47,70,99,5.14,overcast clouds
107,Tondano,ID,1.3038,124.9112,73.49,73,100,1.1,overcast clouds
108,Luau,AO,-10.7073,22.2247,63.36,94,85,1.95,overcast clouds
109,Raga,SS,8.4596,25.678,70.66,35,99,2.71,overcast clouds
110,Yellowknife,CA,62.456,-114.3525,20.73,76,100,17.29,overcast clouds
111,Changji,CN,44.0167,87.3167,39.99,70,0,2.24,clear sky
112,Axim,GH,4.8699,-2.2405,78.53,85,89,5.88,overcast clouds
113,Iqaluit,CA,63.7506,-68.5145,0.59,90,13,8.34,few clouds
114,Homer,US,59.6425,-151.5483,36.77,74,25,8.93,scattered clouds
115,Sorong,ID,-0.8833,131.25,82.67,73,92,2.17,overcast clouds
116,Longyearbyen,SJ,78.2186,15.6401,30.04,86,0,3.44,clear sky
117,Mulchen,CL,-37.7167,-72.2333,65.93,67,33,2.57,scattered clouds
118,Broome,US,42.2506,-75.833,55.6,65,0,1.01,clear sky
119,Palmas,BR,-10.2128,-48.3603,84.07,65,20,8.05,few clouds
120,Mango,US,27.9797,-82.3065,80.85,81,0,6.91,clear sky
121,Christchurch,NZ,-43.5333,172.6333,71.8,26,25,14.97,scattered clouds
122,Tarko-Sale,RU,64.9225,77.785,9.55,89,55,7.92,broken clouds
123,Bluff,NZ,-46.6,168.3333,53.11,69,68,35.46,broken clouds
124,Elban,RU,50.1018,136.5094,28.65,53,85,9.42,overcast clouds
125,Cheney,US,47.4874,-117.5758,37.99,82,100,10.36,overcast clouds
126,Chapais,CA,49.7834,-74.8492,51.4,71,100,13.53,overcast clouds
127,Kirsanov,RU,52.6549,42.7224,33.08,95,100,4.81,overcast clouds
128,Bowen,AU,-20.0167,148.2333,78.91,52,7,19.04,clear sky
129,Deqing,CN,30.5448,119.9599,58.89,79,96,6.85,overcast clouds
130,Barrow,US,71.2906,-156.7887,10.42,85,100,6.91,overcast clouds
131,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.9,79,47,11.83,scattered clouds
132,Kaeo,NZ,-35.1,173.7833,71.33,70,86,8.37,overcast clouds
133,Santa Rosa,PH,14.3122,121.1114,84.09,82,30,3.11,scattered clouds
134,Am Timan,TD,11.0297,20.2827,71.55,22,95,4.68,overcast clouds
135,Goderich,CA,43.7501,-81.7165,57.9,72,7,15.05,clear sky
136,Cosala,MX,24.4125,-106.6908,75.22,48,0,2.57,clear sky
137,Kota Kinabalu,MY,5.9749,116.0724,80.58,78,20,5.01,few clouds
138,Lebu,CL,-37.6167,-73.65,53.33,91,67,3.27,broken clouds
139,Mtinko,TZ,-4.55,34.85,62.58,54,65,8.59,broken clouds
140,Chekhov,RU,55.1431,37.4711,30.09,98,91,3.33,overcast clouds
141,Seminole,US,28.7086,-81.2081,75.2,84,0,10.36,clear sky
142,Viedma,AR,-40.8135,-62.9967,62.58,53,0,17.67,clear sky
143,Severo-Kurilsk,RU,50.6789,156.125,44.33,95,100,9.89,light rain
144,Solnechnyy,RU,50.7214,136.6319,29.77,43,100,1.88,overcast clouds
145,Fortuna,US,40.5982,-124.1573,52.93,73,20,8.05,few clouds
146,Samarinda,ID,-0.5,117.15,79.52,88,100,0.89,overcast clouds
147,Norman Wells,CA,65.282,-126.8329,3.88,92,100,8.84,overcast clouds
148,Kaitangata,NZ,-46.2817,169.8464,56.46,64,62,14.74,broken clouds
149,Yulara,AU,-25.2406,130.9889,71.24,24,0,17.25,clear sky
150,Hasaki,JP,35.7333,140.8333,64.8,57,100,5.28,overcast clouds
151,Carballo,ES,43.213,-8.691,57.87,92,79,2.95,broken clouds
152,Georgetown,MY,5.4112,100.3354,78.73,92,20,3.44,few clouds
153,Cozumel,MX,20.5083,-86.9458,80.08,89,88,4.0,overcast clouds
154,Gaoua,BF,10.2992,-3.2508,76.12,31,33,2.71,scattered clouds
155,Kiama,AU,-34.6833,150.8667,69.39,66,42,5.01,scattered clouds
156,Williston,US,48.147,-103.618,31.32,61,77,1.01,broken clouds
157,Kenai,US,60.5544,-151.2583,33.15,93,20,6.91,few clouds
158,Soyo,AO,-6.1349,12.3689,76.12,91,96,5.46,light rain
159,Te Anau,NZ,-45.4167,167.7167,51.98,70,98,11.03,overcast clouds
160,Abu Zabad,SD,12.35,29.25,71.35,22,75,9.98,broken clouds
161,Quatre Cocos,MU,-20.2078,57.7625,74.08,80,52,6.64,broken clouds
162,Opuwo,NA,-18.0607,13.84,66.56,26,2,5.26,clear sky
163,Port Alfred,ZA,-33.5906,26.891,68.54,79,95,19.53,overcast clouds
164,Iracoubo,GF,5.4802,-53.2011,77.94,90,67,7.45,broken clouds
165,Beringovskiy,RU,63.05,179.3167,14.52,94,100,10.94,light snow
166,Sibolga,ID,1.7427,98.7792,76.01,87,100,2.37,overcast clouds
167,Farafangana,MG,-22.8167,47.8333,72.14,89,92,5.7,overcast clouds
168,Yar-Sale,RU,66.8333,70.8333,4.03,94,5,3.24,clear sky
169,Cidreira,BR,-30.1811,-50.2056,59.49,79,0,7.18,clear sky
170,Mar Del Plata,AR,-38.0023,-57.5575,56.08,86,0,15.99,clear sky
171,Saint Anthony,US,45.0205,-93.218,64.65,76,100,14.97,overcast clouds
172,Taos,US,36.4072,-105.5731,41.2,91,100,4.61,overcast clouds
173,Maniitsoq,GL,65.4167,-52.9,30.76,42,100,5.55,overcast clouds
174,Preobrazheniye,RU,42.9019,133.9064,33.13,41,0,9.15,clear sky
175,Lorengau,PG,-2.0226,147.2712,86.36,64,50,1.32,scattered clouds
176,Jalu,LY,29.0331,21.5482,63.34,63,88,8.25,overcast clouds
177,Chengde,CN,40.9725,117.9361,31.48,35,0,3.6,clear sky
178,Upernavik,GL,72.7868,-56.1549,24.19,55,97,9.91,overcast clouds
179,Hithadhoo,MV,-0.6,73.0833,80.67,77,68,12.91,broken clouds
180,Kilindoni,TZ,-7.9139,39.6668,77.07,81,6,11.36,clear sky
181,Ahipara,NZ,-35.1667,173.1667,66.49,64,64,7.58,broken clouds
182,Coihaique,CL,-45.5752,-72.0662,72.21,46,0,2.3,clear sky
183,Half Moon Bay,US,37.4636,-122.4286,61.83,51,0,11.5,clear sky
184,Nanortalik,GL,60.1432,-45.2371,38.82,78,100,28.66,moderate rain
185,Yerbogachen,RU,61.2767,108.0108,-2.13,98,19,4.18,few clouds
186,Shache,CN,38.4167,77.2406,44.2,37,95,5.57,overcast clouds
187,Ngunguru,NZ,-35.6167,174.5,66.06,67,65,10.4,broken clouds
188,Puerto Leguizamo,CO,-0.1934,-74.7819,65.68,82,100,2.3,overcast clouds
189,Tazmalt,DZ,36.3868,4.3989,66.87,45,97,3.6,overcast clouds
190,Northam,GB,51.0333,-4.2167,46.62,96,93,15.03,overcast clouds
191,Bandarbeyla,SO,9.4942,50.8122,76.78,76,6,1.54,clear sky
192,Tuatapere,NZ,-46.1333,167.6833,54.75,64,84,15.99,broken clouds
193,Tabuk,PH,17.4189,121.4443,77.05,89,78,0.72,broken clouds
194,Sangar,RU,63.9242,127.4739,7.36,93,100,5.93,overcast clouds
195,Suicheng,CN,33.8963,117.9331,47.37,51,70,10.29,broken clouds
196,Svetlyy,RU,54.675,20.1347,37.45,86,20,11.25,few clouds
197,Ludvika,SE,60.1496,15.1878,45.77,98,100,5.03,overcast clouds
198,Paracatu,BR,-17.2222,-46.8747,60.93,87,100,6.49,overcast clouds
199,Narsaq,GL,60.9167,-46.05,41.22,57,100,18.25,overcast clouds
200,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,62,75,8.05,broken clouds
201,Strezhevoy,RU,60.7333,77.5889,23.77,93,97,4.61,overcast clouds
202,Kavieng,PG,-2.5744,150.7967,85.06,66,88,0.45,overcast clouds
203,Bubaque,GW,11.2833,-15.8333,83.61,70,90,8.86,overcast clouds
204,Concepcion,CL,-36.827,-73.0498,52.25,92,63,3.22,broken clouds
205,Cockburn Town,TC,21.4612,-71.1419,80.69,69,19,13.62,few clouds
206,Gaya,IN,24.7833,85.0,65.12,60,6,4.74,clear sky
207,Port Blair,IN,11.6667,92.75,78.21,74,76,5.53,broken clouds
208,Lotoshino,RU,56.2267,35.6414,26.91,92,55,2.84,broken clouds
209,Tupelo,US,34.2576,-88.7034,68.29,60,0,0.0,haze
210,Karanpura,IN,29.1018,75.092,75.4,39,6,6.04,clear sky
211,Taoudenni,ML,22.6783,-3.9836,75.15,16,45,10.58,scattered clouds
212,Husavik,IS,66.0449,-17.3389,39.13,99,100,10.6,overcast clouds
213,Jamestown,US,42.097,-79.2353,60.44,75,0,8.05,clear sky
214,Puerto Ayora,EC,-0.7393,-90.3518,67.68,80,77,11.27,broken clouds
215,Sakakah,SA,29.9697,40.2064,64.29,47,0,0.72,clear sky
216,Hami,CN,42.8,93.45,40.89,38,47,1.48,scattered clouds
217,Gostyn,PL,51.8825,17.0123,48.65,66,98,11.1,overcast clouds
218,Yerraguntla,IN,14.6372,78.5395,71.35,95,7,2.51,clear sky
219,Ghotki,PK,28.006,69.3161,74.28,28,11,4.59,few clouds
220,Ponta Do Sol,PT,32.6667,-17.1,71.71,86,74,1.79,broken clouds
221,Shimoda,JP,34.6667,138.95,65.1,54,78,20.87,broken clouds
222,Quelimane,MZ,-17.8786,36.8883,75.29,85,100,4.74,overcast clouds
223,Krasnoselkup,RU,65.7,82.4667,1.92,88,12,6.96,few clouds
224,Lakes Entrance,AU,-37.8811,147.981,62.17,57,54,6.71,broken clouds
225,Sedona,US,34.8697,-111.761,43.38,83,100,9.22,overcast clouds
226,Leningradskiy,RU,69.3833,178.4167,1.63,95,100,9.26,overcast clouds
227,Ilulissat,GL,69.2167,-51.1,28.42,54,75,12.66,broken clouds
228,Sao Goncalo,BR,-22.8156,-43.0411,67.78,64,75,4.61,broken clouds
